file,line_at_b8e036a8,test_or_gate,declared_purpose,audit_scope
tests/test_bispinor_tt_head_correction.py,160,test_tt_head_correction_cc_tile_is_a_no_op,tt_head_correction is a TT-only knob; the CC tile is unaffected,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,179,test_tt_head_tensor_refuses_box_truncation,,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,186,test_tt_head_tensor_trace_identity_matches_2_vc0,tr(t_ij(q̂)) = 2 at every point on the unit sphere (delta_ii=3,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,204,test_tt_head_tensor_matches_measured_slab_reference_ratio,"In-plane-isotropic slab cell: T/vc0 -> diag(1/2, 1/2, 1), matching",census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,264,test_packed_completion_bare_D_TT_is_the_transverse_projector_average,"``<D>``'s TT block is ``-<v P^T>``, checked by three identities that",census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,301,test_packed_completion_charge_only_R_returns_diag_W00_and_bare_D_TT,THE identity the packed bare-transverse route rests on.,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,377,test_the_deck_key_is_tombstoned,The removed key refuses BY NAME and says what carries the head now.,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,388,test_default_is_off_and_never_refuses,,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,393,test_refuses_without_bispinor,,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,404,test_refuses_sys_dim_zero,,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,413,test_supported_combination_parses_without_refusing,,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,422,test_bispinor_false_decks_are_untouched,The flag existing must not change any default-deck resolution.,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,429,test_gw_init_calls_the_canonical_refusal,The driver-entry mirror call exists (parser-altitude coverage,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,439,test_the_docs_row_names_the_key,,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,446,test_refusal_doc_pointer_names_a_section_that_actually_exists,Both refusal messages cite a ``docs/input_reference.md`` section by,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,489,test_packed_bare_route_refuses_the_hand_tt_overlay,,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,502,test_packed_bare_route_accepts_the_default_and_takes_the_packed_path,,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,515,test_outside_the_packed_envelope_the_overlay_is_still_accepted,The incumbent route keeps the overlay: it is its ONLY TT head.,census only; classification in gate_blindness.md
tests/test_bispinor_tt_head_correction.py,549,test_this_file_grades_the_checkout_it_lives_in,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,92,test_writer_refuses_invalid_tile_carrier,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,100,test_writer_accepts_exact_q_and_padded_centroid_carrier,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,106,test_reader_refuses_missing_unique_tile_before_collective_open,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,127,test_reader_refuses_short_tile_before_collective_open,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,153,test_reader_refuses_wrong_tile_dtype_before_collective_open,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,169,test_reader_refuses_unready_or_noncanonical_inventory,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,194,test_reader_accepts_complete_certified_file,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,223,test_reader_refuses_unstamped_full_q_file,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,234,test_reader_refuses_disagreeing_current_family_tables,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,250,test_reader_authenticates_each_tile_receipt,,census only; classification in gate_blindness.md
tests/test_bispinor_v_file_contract.py,261,test_reader_refuses_sibling_centroid_stamp_mismatch,,census only; classification in gate_blindness.md
tests/test_bispinor_zeta_reuse_ast.py,84,test_reuse_decisions_are_independent_and_use_one_validator,,census only; classification in gate_blindness.md
tests/test_bispinor_zeta_reuse_ast.py,104,test_every_reuse_check_probes_the_dataset_extent,,census only; classification in gate_blindness.md
tests/test_bispinor_zeta_reuse_ast.py,116,test_reuse_contract_precedes_and_bypasses_fit_only_planners,A complete cache never enters either charge or transverse fit HWM.,census only; classification in gate_blindness.md
tests/test_bispinor_zeta_reuse_ast.py,150,test_only_missing_channels_reach_fit_writers,,census only; classification in gate_blindness.md
tests/test_bispinor_zeta_reuse_ast.py,174,test_bispinor_reuse_path_returns_rebuilt_transverse_data,,census only; classification in gate_blindness.md
tests/test_bispinor_zeta_reuse_ast.py,215,test_transverse_psi_has_exactly_two_call_sites,,census only; classification in gate_blindness.md
tests/test_bispinor_zeta_reuse_ast.py,225,test_transverse_zeta_files_are_stamped,,census only; classification in gate_blindness.md
tests/test_bispinor_zeta_reuse_ast.py,236,test_every_fresh_channel_gates_rank_findings_before_stamp,,census only; classification in gate_blindness.md
tests/test_cartesian_actions_cri3.py,31,test_typed_cartesian_actions_match_cri3_fixture,,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,50,test_transverse_projectors_match_pairs_and_are_gauge_invariant,,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,70,test_asymmetric_charge_projectors_match_pairs,,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,82,test_one_k_scalar_equal_window_row_norm_is_the_band_density,,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,148,test_parent_stream_partitions_across_ranks_and_keeps_union,,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,178,test_nonuniform_parent_weights_are_divided_over_unequal_stars,,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,221,test_ibz_storage_weights_are_bit_identical_to_the_legacy_expansion,IBZ identity: nkpts < nk_tot must reproduce the pre-fix numbers exactly.,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,242,test_full_bz_storage_uses_the_stored_weights_and_does_not_refuse,"nkpts == nk_tot: every point is stored, so kweights IS the quadrature.",census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,278,test_full_bz_storage_refuses_when_parents_are_not_their_own_image,The full-BZ branch needs the raw and full-BZ k axes to be one axis.,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,288,test_ibz_storage_still_refuses_uncovered_quadrature_weight,The IBZ precondition survives: a short axis must cover weight one.,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,298,test_projector_memory_plan_prices_and_refuses,,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,309,test_distributed_build_requires_mesh,,census only; classification in gate_blindness.md
tests/test_centroid_current_density.py,322,test_builder_has_no_occupation_or_persistent_pullback_cache,,census only; classification in gate_blindness.md
tests/test_centroid_fit_policy.py,16,test_nonsymmorphic_grid_average_uses_the_seitz_translation,,census only; classification in gate_blindness.md
tests/test_centroid_fit_policy.py,32,test_off_grid_seitz_translation_refuses_instead_of_rounding,,census only; classification in gate_blindness.md
tests/test_centroid_fit_policy.py,43,test_kmeans_cli_has_no_occupation_weight_fit_option,,census only; classification in gate_blindness.md
tests/test_centroid_fit_policy.py,79,test_kmeans_report_carries_the_density_mode_suffix,A charge and a current selection in one directory must not collide.,census only; classification in gate_blindness.md
tests/test_centroid_fit_policy.py,113,test_current_mode_refuses_metric_bypasses,,census only; classification in gate_blindness.md
tests/test_centroid_fit_policy.py,124,test_scalar_mode_retains_explicit_experiment_switches,,census only; classification in gate_blindness.md
tests/test_centroid_fit_policy.py,158,test_current_prune_routes_exact_transverse_metric_through_group_blocks,Current mode spends a point budget and pivots complete atom orbits.,census only; classification in gate_blindness.md
tests/test_centroid_fit_policy.py,205,test_scalar_prune_keeps_the_same_ungrouped_charge_route,The current hardening does not redirect scalar point selection.,census only; classification in gate_blindness.md
tests/test_chi0_fractional_face_parity.py,259,test_fractional_chi0_face_matches_legacy,,census only; classification in gate_blindness.md
tests/test_compute_V_q_bispinor_g_flat.py,124,test_reader_refuses_stale_format_before_collective_open,A schema refusal must not strand an unreachable collective handle.,census only; classification in gate_blindness.md
tests/test_compute_V_q_bispinor_g_flat.py,146,test_bispinor_7_tiles_match_einsum_reference,All 7 unique tiles agree with a per-q einsum reference.,census only; classification in gate_blindness.md
tests/test_compute_V_q_bispinor_g_flat.py,229,test_bispinor_CC_tile_matches_charge_orchestrator,CC tile from the bispinor orchestrator == output of the charge-only,census only; classification in gate_blindness.md
tests/test_compute_V_q_bispinor_g_flat.py,335,test_cc_tile_is_bare_v_real,,census only; classification in gate_blindness.md
tests/test_compute_V_q_bispinor_g_flat.py,341,test_tt_diagonal_applies_negative_transverse_projector,,census only; classification in gate_blindness.md
tests/test_compute_V_q_bispinor_g_flat.py,350,test_tt_offdiagonal_applies_negative_transverse_projector,,census only; classification in gate_blindness.md
tests/test_compute_V_q_bispinor_g_flat.py,358,test_invalid_tt_indices_raise,,census only; classification in gate_blindness.md
tests/test_conv_kpair_numerical.py,34,test_conv_kpair_matches_xla,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,163,test_exact_origin_radial_moment_and_contact_action,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,207,test_nonzero_k_action_matches_cartesian_value_finite_differences,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,256,test_fixed_row_and_g_scans_cover_each_coupled_block_once,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,281,test_strict_large_components_contact_setup_and_finite_q_refuse,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,299,test_ordinary_and_gauge_projector_values_share_exact_origin_owner,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,312,test_icl_kminusq_jet_reuses_uniform_current_and_contact_exactly,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,341,test_icl_kminusq_taylor_ward_and_transfer_hermiticity,The q jet is the straight-line average of dV(k-lambda*q).,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,384,test_icl_q2_physical_radial_third_derivative_and_operator_jet,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,467,test_fixed_large_component_photon_vertex_jet_taylor_ward_and_hermiticity,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,592,test_isometric_photon_vertex_jet_matches_the_direct_kminusq_endpoint,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,681,test_exact_icl_finite_transfer_matches_q0_and_landed_q2_jet,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,725,test_exact_icl_finite_contact_q0_and_two_photon_ward,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,771,test_uniform_contact_and_paramagnetic_sum_have_fsum_prefactor,Hellmann--Feynman curvature fixes contact/bubble sign and factor 2.,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,838,test_exact_icl_finite_contact_centered_q2_coefficient,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,884,test_exact_icl_finite_transfer_ward_wrap_and_hermiticity,,census only; classification in gate_blindness.md
tests/test_dft_gauge_vertices.py,930,test_exact_icl_finite_transfer_rejects_noncanonical_wrap_and_stamps_rule,,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,206,test_default_arm_is_bit_identical_to_the_pre_knob_assembly,The DEFAULT is the flipped arm; the LEGACY arm is still exact.,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,246,test_the_bit_identity_reference_can_fail,The FALSE case for the reference itself.,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,278,test_flipped_arm_moves_the_matrix_elements,Perturb it and watch the physics move.,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,325,test_operator_key_separates_the_two_arms_and_nothing_else,,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,349,test_sweep_does_not_serve_one_arm_for_the_other,"Both arms, both orders, one process -- the end-to-end cache check.",census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,386,test_operator_refuses_anything_that_is_not_a_sign,,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,410,test_producer_resolution_order,,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,417,test_producer_refuses_a_deck_key_that_is_not_a_sign,,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,426,test_producer_and_operator_share_one_sign_validation_owner,The parser resolves precedence; common.mtxel_sweep owns validity.,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,446,test_the_deck_key_survives_the_deck_reader,"The FALSE case a grep would have passed, and did.",census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,467,test_a_deck_that_omits_the_key_reads_as_not_declared,Empty is UNSET and must stay distinguishable from an explicit,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,477,test_strict_keys_accepts_a_deck_that_names_the_sign,Always-strict parsing accepts the registered sign key.,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,485,test_the_whole_chain_from_deck_line_to_resolved_sign,"Deck text in, arm out -- the two halves joined.",census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,531,test_the_stamp_records_the_arm_that_ran,,census only; classification in gate_blindness.md
tests/test_dipole_vnl_velocity_sign.py,540,test_an_unstamped_file_stays_unstamped,"``None`` is ""written before the knob existed"", which is a real",census only; classification in gate_blindness.md
tests/test_file_io.py,121,test_read_mf_header_round_trip,"Write a fake WFN.h5, read mf_header, assert every field matches.",census only; classification in gate_blindness.md
tests/test_file_io.py,167,test_copy_mf_header_verbatim,Copy mf_header from a fake WFN.h5 to a fresh destination and,census only; classification in gate_blindness.md
tests/test_file_io.py,188,test_copy_mf_header_refuses_overwrite,,census only; classification in gate_blindness.md
tests/test_file_io.py,197,test_isdf_header_round_trip,,census only; classification in gate_blindness.md
tests/test_file_io.py,222,test_isdf_header_current_label,,census only; classification in gate_blindness.md
tests/test_file_io.py,241,test_isdf_header_refuses_overwrite,,census only; classification in gate_blindness.md
tests/test_file_io.py,256,test_mf_and_isdf_headers_coexist,The two headers must live side-by-side without trampling each,census only; classification in gate_blindness.md
tests/test_file_io.py,334,test_zeta_reader_loads_mf_and_isdf_headers,,census only; classification in gate_blindness.md
tests/test_file_io.py,360,test_zeta_reader_detects_ibz_q_axis,An IBZ-only zeta_q.h5 has a smaller leading axis; ZetaReader,census only; classification in gate_blindness.md
tests/test_file_io.py,372,test_zeta_reader_vertex_mu_L_is_int,,census only; classification in gate_blindness.md
tests/test_file_io.py,381,test_zeta_reader_context_manager_closes,,census only; classification in gate_blindness.md
tests/test_file_io.py,394,test_zeta_reader_slab_io_property,The exposed SlabIO handle is the one we can hand to legacy,census only; classification in gate_blindness.md
tests/test_file_io.py,448,test_read_zeta_G_slab_zero_pads_trailing_mu,When ``mu_count > valid_mu`` the reader must return the on-disk,census only; classification in gate_blindness.md
tests/test_file_io.py,491,test_read_zeta_G_slab_pad_smaller_than_one_per_rank,Edge case: when ``n_rmu_logical < n_rmu_padded`` AND,census only; classification in gate_blindness.md
tests/test_file_io.py,562,test_mark_zeta_done_flips_flag,,census only; classification in gate_blindness.md
tests/test_file_io.py,572,test_legacy_files_without_flag_read_as_done,A pre-flag zeta_q.h5 (no zeta_is_done dataset) reads as True.,census only; classification in gate_blindness.md
tests/test_file_io.py,582,test_zeta_layout_round_trip,``zeta_layout`` round-trips for both 'r_space' (default) and 'G_flat'.,census only; classification in gate_blindness.md
tests/test_file_io.py,611,test_zeta_layout_legacy_default,Files without ``zeta_layout`` read as 'r_space'.,census only; classification in gate_blindness.md
tests/test_file_io.py,620,test_zeta_layout_rejects_garbage,"build() rejects non-{'r_space','G_flat'} values.",census only; classification in gate_blindness.md
tests/test_file_io.py,647,test_load_q_ibz_returns_all_disk_rows,,census only; classification in gate_blindness.md
tests/test_file_io.py,655,test_load_q_index_list_subset,,census only; classification in gate_blindness.md
tests/test_file_io.py,667,test_load_mu_range,,census only; classification in gate_blindness.md
tests/test_file_io.py,678,test_load_q_full_bz_on_full_disk_returns_all,"When the on-disk layout IS full-BZ, q='full_bz' == q='ibz'.",census only; classification in gate_blindness.md
tests/test_file_io.py,688,test_load_q_full_bz_on_an_ibz_file_refuses_and_names_the_post_v_q_unfold,The successor to ``test_load_q_full_bz_unfold_path_exists``.,census only; classification in gate_blindness.md
tests/test_file_io.py,724,test_r_space_header_surface_still_opens,,census only; classification in gate_blindness.md
tests/test_file_io.py,739,test_r_space_data_reads_refuse_naming_the_removal,,census only; classification in gate_blindness.md
tests/test_file_io.py,746,test_the_g_flat_data_reads_do_not_hit_that_refusal,The does-not-cry-wolf half: a G-flat file must get PAST the layout,census only; classification in gate_blindness.md
tests/test_file_io.py,759,test_the_deleted_read_arguments_are_gone_from_the_signature,"D3, pinned.  ``qvec_batch_frac``/``sphere_idx`` on",census only; classification in gate_blindness.md
tests/test_file_io.py,806,test_normalize_slab_request_rejects_rank_mismatch,,census only; classification in gate_blindness.md
tests/test_file_io.py,817,test_normalize_slab_request_rejects_out_of_bounds,,census only; classification in gate_blindness.md
tests/test_file_io.py,828,test_normalize_slab_request_allows_nonzero_read_offset_without_extent,,census only; classification in gate_blindness.md
tests/test_file_io.py,842,test_validate_block_divisible_rejects_ragged_write_axis,,census only; classification in gate_blindness.md
tests/test_file_io.py,858,test_validate_block_divisible_accepts_cri3_zeta_shape,,census only; classification in gate_blindness.md
tests/test_file_io.py,869,test_normalize_valid_shape_rejects_prefix_larger_than_physical_slab,,census only; classification in gate_blindness.md
tests/test_file_io.py,881,test_normalize_valid_shape_allows_ragged_last_file_chunk,,census only; classification in gate_blindness.md
tests/test_file_io.py,893,test_normalize_valid_shape_derives_the_dataset_clip_by_default,decisions.md 2026-08-04: with no ``valid_shape`` the extent is,census only; classification in gate_blindness.md
tests/test_file_io.py,908,test_normalize_valid_shape_default_clips_a_sub_slab_at_its_offset,,census only; classification in gate_blindness.md
tests/test_file_io.py,915,test_normalize_valid_shape_default_never_refuses_an_overhang,A slab starting past the end of the dataset derives an EMPTY,census only; classification in gate_blindness.md
tests/test_file_io.py,924,test_normalize_valid_shape_override_that_overruns_refuses,,census only; classification in gate_blindness.md
tests/test_file_io.py,931,test_slabio_implicit_pad_write_and_zero_padded_read,The padded write/read round-trip with NO padding argument.,census only; classification in gate_blindness.md
tests/test_file_io.py,956,test_slabio_implicit_pad_matches_explicit_valid_shape,BYTE-IDENTITY: dropping ``valid_shape`` must not move a bit.,census only; classification in gate_blindness.md
tests/test_file_io.py,992,test_create_dataset_refuses_a_geometry_change,"decisions.md 2026-08-04: reuse-if-identical, refuse otherwise.",census only; classification in gate_blindness.md
tests/test_file_io.py,1024,test_read_slab_without_shape_rounds_up_to_the_mesh,THE EASY CALL IS THE CORRECT CALL (2026-08-06).,census only; classification in gate_blindness.md
tests/test_file_io.py,1059,test_mesh_divisible_shape_rounds_each_axis_by_its_own_divisor,"The rounding rule itself, without a file.",census only; classification in gate_blindness.md
tests/test_file_io.py,1132,test_zeta_q_headers_append_onto_phdf5_created_inode,Serial h5py can append the header groups to a PHDF5-created inode.,census only; classification in gate_blindness.md
tests/test_file_io.py,1182,test_zeta_q_inode_gets_striping_policy,The zeta_q.h5 inode carries the stripe count the policy resolves to.,census only; classification in gate_blindness.md
tests/test_file_io.py,1273,test_the_attr_writer_writes_what_the_host_path_would_write,"THE WSL TWIN, and it needs no transport: same bytes, both ways.",census only; classification in gate_blindness.md
tests/test_file_io.py,1312,test_the_writers_stamp_survives_its_own_reader,"The consequence, end to end at the h5py altitude.",census only; classification in gate_blindness.md
tests/test_file_io.py,1343,test_an_attr_for_a_missing_dataset_refuses,"The regression twin for the SHAPE of the defect, not its instance.",census only; classification in gate_blindness.md
tests/test_file_io.py,1360,test_slabio_create_dataset_attrs_reach_the_file,"THE RED TWIN, on the transport that had the defect.",census only; classification in gate_blindness.md
tests/test_file_io.py,1386,test_slabio_and_h5py_write_attr_identical_files,"The two paths, the same call, the same file.",census only; classification in gate_blindness.md
tests/test_file_io.py,1419,test_slabio_create_dataset_does_not_warn_about_attrs,The discard's ghost.  A warning here means the drop came back.,census only; classification in gate_blindness.md
tests/test_galerkin_basis_store.py,91,test_galerkin_basis_logical_roundtrip_and_provenance,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,74,test_coupled_mu123_prototype_prices_two_zq_outputs_and_shared_x_face,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,84,test_coupled_mu123_stacked_solve_prices_nonconcurrent_peak,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,92,test_coupled_host_spill_moves_gflat_bytes_off_device,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,108,test_batch_reshard_floor_matches_three_measured_live_arenas,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,114,test_local_route_hwm_includes_solve_floor_not_just_base_plus_delta,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,123,test_run50_matched_deck_selects_bounded_y_cache_without_full_grid_cache,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,145,test_cri3_prices_bounded_centroid_and_full_k_zeta_ffts_separately,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,170,test_face_pair_arena_distinguishes_charge_and_current_executables,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,199,test_ns1_falls_back_and_large_band_selects_cache_feasible_outer_chunk,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,211,test_face_uses_exact_carrier_inventory_and_only_py_r_alignment,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,219,test_bounded_partition_tile_preserves_outer_extent_and_alignment,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,227,test_run158_cliff_uses_two_41472_tiles_and_prices_compact_redistribution,,census only; classification in gate_blindness.md
tests/test_gflat_planner_face_pairs.py,252,test_parent_open_spin_projectors_are_in_the_transverse_live_set,Five four-spinor parents on 668 centroids need both open-spin projectors live.,census only; classification in gate_blindness.md
tests/test_gw_jax_regression.py,180,test_gw_jax_matches_reference,,census only; classification in gate_blindness.md
tests/test_gw_jax_regression.py,204,test_si_production_matches_frozen_reference,Si production deck vs its own frozen output — 'did the code change?'.,census only; classification in gate_blindness.md
tests/test_gw_jax_regression.py,262,test_si_production_matches_berkeleygw,Si production deck vs literal BerkeleyGW columns — THE external anchor.,census only; classification in gate_blindness.md
tests/test_gw_jax_regression.py,337,test_si_fast_matches_frozen_reference,Si fast deck vs its own frozen output.  NOT a BerkeleyGW anchor.,census only; classification in gate_blindness.md
tests/test_gw_jax_regression.py,392,test_hbn_matches_frozen_reference,hBN non-cubic deck vs its own frozen output.  NOT a BerkeleyGW anchor.,census only; classification in gate_blindness.md
tests/test_gw_jax_regression.py,436,test_hbn_mc_average_vcoul_body_moves_sigma,THE NEGATIVE CONTROL — the cell this whole fixture exists for.,census only; classification in gate_blindness.md
tests/test_gw_jax_regression.py,504,test_gnppm_matches_reference,"MoS2 3×3 GN-PPM frozen gate, on the session run (Tier-2's state).",census only; classification in gate_blindness.md
tests/test_gw_jax_regression.py,534,test_bispinor_gnppm_matches_reference,Bispinor GN-PPM frozen gate (Σ^B folded into sigX).,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,88,test_report_is_scientific_rank_zero_output,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,250,test_report_spells_out_enabled_eqp2_and_convergence,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,279,test_closing_file_roles_do_not_conflate_full_matrix_and_diagonal_outputs,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,286,test_incomplete_sigma_coverage_is_an_actionable_final_warning,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,329,test_timing_report_hides_sub_display_precision_residuals,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,348,test_report_collapses_minimax_catalog_receipts,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,370,test_nonzero_rank_never_creates_report,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,382,test_local_linalg_warning_has_dense_matrix_numbers,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,400,test_low_mem_bands_warning_has_automatic_chunk_number,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,421,test_distributed_linalg_reports_2d_layout,,census only; classification in gate_blindness.md
tests/test_gw_production_report.py,438,test_mpa_trs_route_is_part_of_the_scientific_run_record,,census only; classification in gate_blindness.md
tests/test_head_correction.py,44,test_head_policy_enum_is_strict_and_has_one_physical_default_axis,,census only; classification in gate_blindness.md
tests/test_head_correction.py,51,test_full_policy_refuses_an_unfolded_direct_epsilon_head,,census only; classification in gate_blindness.md
tests/test_head_correction.py,63,test_full_policy_accepts_only_once_reduced_head_kinds,,census only; classification in gate_blindness.md
tests/test_head_correction.py,73,test_diagnostic_and_off_policies_are_observable,,census only; classification in gate_blindness.md
tests/test_head_correction.py,82,test_head_resolver_forwards_the_gw_run_dipole_window,"The provenance message compares the reader's window, not defaults.",census only; classification in gate_blindness.md
tests/test_head_correction.py,102,test_an_absent_dipole_window_refuses_instead_of_defaulting_to_5_5,No band window means NO reference — never a fabricated 5/5/nbands.,census only; classification in gate_blindness.md
tests/test_head_correction.py,128,test_compute_static_head_terms_matches_cohsex_formulas,,census only; classification in gate_blindness.md
tests/test_head_correction.py,157,test_static_head_terms_to_kij_broadcasts_diagonal_heads,,census only; classification in gate_blindness.md
tests/test_head_correction.py,179,test_resolve_head_override_uses_frequency_specific_whead,,census only; classification in gate_blindness.md
tests/test_head_correction.py,225,test_fit_head_ppm_negative_branch_sign_matches_positive_limit,Drive the Ω_h²<0 branch and assert R_h has the anti-Bug-A sign.,census only; classification in gate_blindness.md
tests/test_head_correction.py,264,test_fit_head_ppm_R_h_continuous_across_omega_sq_zero,R_h is sign- and magnitude-continuous across the Ω_h²=0 crossing.,census only; classification in gate_blindness.md
tests/test_invariance_gates.py,98,test_restart_equals_fresh,restart=true from the fresh run's tmp/ must reproduce the fresh run.,census only; classification in gate_blindness.md
tests/test_invariance_gates.py,124,test_mu_pad_flip_invariance_gnppm,EXTRA_MU_PAD=12 vs 0 at fixed P=1 on the dynamic GN-PPM chain.,census only; classification in gate_blindness.md
tests/test_invariance_gates.py,163,test_mu_pad_flip_invariance_bispinor,"EXTRA_MU_PAD=4 vs 0, bispinor GN-PPM: Sigma byte identity.",census only; classification in gate_blindness.md
tests/test_invariance_gates.py,208,test_sc_iteration1_equals_one_shot,,census only; classification in gate_blindness.md
tests/test_invariance_gates.py,235,test_fixed_point_frozen_qp_rotations,,census only; classification in gate_blindness.md
tests/test_isdf_cq_face_parity.py,221,test_cq_face_layout_matches_legacy,,census only; classification in gate_blindness.md
tests/test_isdf_zq_face_parity.py,523,test_zq_face_layout_matches_legacy,,census only; classification in gate_blindness.md
tests/test_isdf_zq_face_parity.py,539,test_global_tile_concat_restores_outer_y_shard_order_complex128,"Global concat, not local concat, restores the outer y-shard order.",census only; classification in gate_blindness.md
tests/test_isdf_zq_face_parity.py,568,test_band_chunks_must_complete_before_pair_product,Negative oracle: per-chunk products omit cross-band-chunk terms.,census only; classification in gate_blindness.md
tests/test_isdf_zq_parent_parity.py,348,test_parent_zq_and_cq_match_the_full_k_face_route,,census only; classification in gate_blindness.md
